,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
116,GBM_grid_1_AutoML_20190425_050348_model_17,81,0.05,16,1.0,0.7,False,7106568327061183987,0,deviance,0.011609086505314302
117,GBM_grid_1_AutoML_20190425_050348_model_18,415,0.005,15,0.9,1.0,False,-2105730668892628398,0,deviance,0.011609086505314302
118,GBM_grid_1_AutoML_20190425_050348_model_19,316,0.008,9,1.0,1.0,False,-511594374782659968,0,deviance,0.011609086505314302
119,GBM_grid_1_AutoML_20190425_050348_model_2,401,0.005,8,0.6,0.4,False,-1473776048966591994,0,deviance,0.011609086505314302
120,GBM_grid_1_AutoML_20190425_050348_model_20,128,0.08,3,0.6,0.4,False,9013539032432083513,0,deviance,0.011609086505314302
121,GBM_grid_1_AutoML_20190425_050348_model_21,454,0.001,7,1.0,1.0,False,4010221049332325167,0,deviance,0.011609086505314302
122,GBM_grid_1_AutoML_20190425_050348_model_22,387,0.005,7,1.0,1.0,False,-4683489061081535654,0,deviance,0.011609086505314302
123,GBM_grid_1_AutoML_20190425_050348_model_23,41,0.5,10,0.9,0.7,False,-892492536887931995,0,deviance,0.011609086505314302
124,GBM_grid_1_AutoML_20190425_050348_model_24,384,0.005,5,0.6,0.7,False,-5200509593428754951,0,deviance,0.011609086505314302
125,GBM_grid_1_AutoML_20190425_050348_model_25,302,0.008,5,1.0,1.0,False,3985013298001394736,0,deviance,0.011609086505314302
126,GBM_grid_1_AutoML_20190425_050348_model_26,393,0.005,12,0.8,1.0,False,-3071412814285855190,0,deviance,0.011609086505314302
127,GBM_grid_1_AutoML_20190425_050348_model_27,373,0.008,15,0.8,0.4,False,360806971618850036,0,deviance,0.011609086505314302
128,GBM_grid_1_AutoML_20190425_050348_model_28,243,0.001,12,0.8,1.0,False,1947835251997054039,0,deviance,0.011609086505314302
129,GBM_grid_1_AutoML_20190425_050348_model_29,52,0.08,16,0.7,1.0,False,-6085720321900248558,0,deviance,0.011609086505314302
130,GBM_grid_1_AutoML_20190425_050348_model_3,361,0.008,10,0.9,0.7,False,4693409593656071073,0,deviance,0.011609086505314302
131,GBM_grid_1_AutoML_20190425_050348_model_30,63,0.5,12,1.0,0.7,False,-1028254104148962128,0,deviance,0.011609086505314302
132,GBM_grid_1_AutoML_20190425_050348_model_31,10,0.08,7,0.8,0.4,False,-1169020146513022850,0,deviance,0.011609086505314302
133,GBM_grid_1_AutoML_20190425_050348_model_32,1,0.001,4,0.7,0.7,False,-3514771258380315286,0,deviance,0.011609086505314302
134,GBM_grid_1_AutoML_20190425_050348_model_4,330,0.001,15,0.7,1.0,False,-5304411314950184593,0,deviance,0.011609086505314302
135,GBM_grid_1_AutoML_20190425_050348_model_5,120,0.08,15,0.9,1.0,False,-7490644698617271210,0,deviance,0.011609086505314302
136,GBM_grid_1_AutoML_20190425_050348_model_6,31,0.5,16,0.5,0.7,False,7394817351480439369,0,deviance,0.011609086505314302
137,GBM_grid_1_AutoML_20190425_050348_model_7,251,0.01,17,0.7,0.4,False,6772486033635049389,0,deviance,0.011609086505314302
138,GBM_grid_1_AutoML_20190425_050348_model_8,133,0.08,4,1.0,1.0,False,-2064857727399988223,0,deviance,0.011609086505314302
139,GBM_grid_1_AutoML_20190425_050348_model_9,268,0.01,7,0.9,0.4,False,1977642792601040938,0,deviance,0.011609086505314302
140,GBM_grid_1_AutoML_20190425_054218_model_1,80,0.8,10,0.7,0.4,False,-879418150635119413,0,deviance,0.011609086505314302
141,GBM_grid_1_AutoML_20190425_054218_model_10,285,0.008,9,1.0,1.0,False,756776867910414161,0,deviance,0.011609086505314302
142,GBM_grid_1_AutoML_20190425_054218_model_11,430,0.005,12,0.8,1.0,False,3512993172529364599,0,deviance,0.011609086505314302
